Bik,Ceb,Hil,Ilo,Pam,Pag,TI,War
alagad,ang,ang,a,a,a,ang,af
an,apan,gid,adda,at,ag,at,an
asin,dili,ila,dagiti,ding,da,ay,dbch
dai,iyang,lindi,dayot,e,diad,hindi,f
huli,jesus,iya,idi,genesis,ed,isang,ha
ini,ka,ka,isu,i,et,ito,han
jesus,kay,kag,iti,ing,ko,kanyang,hich
kan,ko,kay,kadagiti,karing,la,ko,hin
kun,mga,kon,ken,keang,mo,kung,iya
man,na,man,ket,kekang,na,may,ka
mga,nga,mga,maysa,king,nen,mga,kay
na,ni,na,met,ku,no,na,la
ni,niya,nga,nga,la,saray,nang,loch
nin,sa,ni,ngem,mu,say,ng,mga
niya,si,niya,ni,n,si,ni,na
sa,sila,sa,no,na,so,niya,nga
si,siya,sang,pay,nang,ta,pa,ngan
sinda,ug,si,saan,ng,tan,sa,sa
siya,usa,sia,ta,ning,to,si,san
ta,wala,wala,ti,ya,ya,siya,si
